中央卫视频道,#genre#
CCTV7,http://110.181.232.172:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信12
CCTV7,http://110.181.235.27:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信4
CCTV7,http://110.181.234.38:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信2
CCTV7,http://110.181.234.85:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信8
CCTV7,http://110.181.232.202:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信11
CCTV7,http://110.181.236.164:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信9
CCTV7,http://110.181.239.77:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信
CCTV7,http://110.181.235.83:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信7
CCTV7,http://110.181.238.190:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信6
CCTV7,http://110.181.236.30:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信3
CCTV7,http://110.181.239.201:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信5
CCTV7,http://110.181.237.202:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信1
CCTV7,http://1.193.60.239:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$郑州电信
CCTV7,http://110.181.238.30:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信10
CCTV8,http://1.193.60.239:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$郑州电信
CCTV8,http://218.17.33.178:53290/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$深圳电信1
CCTV8,http://171.213.203.127:11111/rtp/239.93.42.39:5140$四川cphp1
CCTV8,http://222.129.32.255:4022/rtp/239.3.1.175:8001$北京uip1
CCTV8,http://171.213.210.56:8188/rtp/239.93.42.39:5140$四川cip1
CCTV8,http://171.213.142.79:8188/rtp/239.93.42.39:5140$四川cphp22
CCTV8,http://171.213.245.105:4022/rtp/239.93.42.39:5140$四川cphp36
CCTV8,http://171.213.206.150:5555/rtp/239.93.42.39:5140$四川cphp6
CCTV8,http://171.213.205.11:4022/rtp/239.93.42.39:5140$四川cphp4
