辽宁电信 4K,#genre#
睛彩青少,http://10.255.128.136/PLTV/88888888/224/3221226319/10000100000000060000000001081183_0.smil/index.m3u8?fmt=ts2hls?fmt=ts2hls
睛彩篮球,http://10.255.128.136/PLTV/88888888/224/3221226285/10000100000000060000000001081181_0.smil/index.m3u8?fmt=ts2hls?fmt=ts2hls
央视频道(备用),#genre#
CCTV-1 综合,http://10.255.129.26:6060/ZTE_EPG16/2/9201?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-2 财经,http://10.255.129.26:6060/ZTE_EPG16/2/9202?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-3 综艺,http://10.255.129.26:6060/ZTE_EPG16/2/9203?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-4 国际,http://10.255.129.26:6060/ZTE_EPG16/2/9239?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-4 欧洲,http://10.255.129.26:6060/ZTE_EPG16/2/9317?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-4 美洲,http://10.255.129.26:6060/ZTE_EPG16/2/9318?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-5 体育,http://10.255.129.26:6060/ZTE_EPG16/2/9204?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-5+ 体育赛事,http://10.255.129.26:6060/ZTE_EPG16/2/9205?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-6 电影,http://10.255.129.26:6060/ZTE_EPG16/2/9206?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-7 国防军事,http://10.255.129.26:6060/ZTE_EPG16/2/9271?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-8 电视剧,http://10.255.129.26:6060/ZTE_EPG16/2/9208?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-9 纪录,http://10.255.129.26:6060/ZTE_EPG16/2/9209?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-10 科教,http://10.255.129.26:6060/ZTE_EPG16/2/9210?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-11 戏曲,http://10.255.129.26:6060/ZTE_EPG16/2/9011?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-12 社会与法,http://10.255.129.26:6060/ZTE_EPG16/2/9211?virtualDomain=ZTE_EPG16.live_hls.zte.com
